Mu33,Mu22,Pu,L,Cb,Delta,L1tb,h,b,tf,tw
2785.82,2008.375,-302557.178,4.0,1.55,0.006,1,0.363728,0.370967,0.021844,0.013335
-1.205,5737.699,-356258.447,4.0,2.208,0.0058,1,0.356108,0.368808,0.018034,0.011176
2475.836,4971.965,-257323.198,3.5,1.855,0.0042,1,0.356108,0.368808,0.018034,0.011176
15.981,5338.118,-359310.625,3.5,2.075,0.004,1,0.314452,0.306832,0.018669,0.011938
1471.607,2440.948,-208634.61,3.5,1.907,0.0037,1,0.31115,0.305816,0.017018,0.010922
12.455,2916.027,-246283.297,3.5,1.704,0.0034,1,0.259588,0.256032,0.017272,0.010668
591.464,1241.306,-155636.176,3.5,1.844,0.003,1,0.253492,0.254,0.014224,0.008636
4.9,1354.358,-182254.646,3.5,1.875,0.0028,1,0.25654,0.203708,0.015748,0.00889
287.311,470.565,-103885.401,3.5,1.74,0.0021,1,0.247142,0.202184,0.011049,0.007366
1.792,836.644,-120060.413,3.5,1.764,0.0024,1,0.2032,0.203073,0.011049,0.007239
14.967,153.298,-53150.892,3.5,1.99,0.0012,1,0.13081,0.127762,0.010922,0.006858
-0.063,220.252,-58425.704,3.5,2.077,0.0011,1,0.152146,0.152146,0.006604,0.005842
-6121.1,0.0,0.0,10.0,2.25,0.0,1,0.15748,0.152908,0.009271,0.006604
-6124.376,0.0,0.0,10.0,2.251,0.0,1,0.15748,0.152908,0.009271,0.006604
-303.519,522.255,-15481.128,4.0,2.474,0.0042,1,0.152146,0.152146,0.006604,0.005842
-1716.766,2192.294,-30667.876,4.0,2.667,0.0084,1,0.201422,0.164973,0.01016,0.006223
-1767.639,-0.004,18.996,5.0,2.067,0.0,1,0.14986,0.100076,0.005461,0.004318
-29123.159,-0.388,-1444.207,8.0,1.375,0.0,1,0.353568,0.204724,0.016764,0.009398
-33760.961,-0.5,-1249.689,8.0,1.46,0.0,1,0.306324,0.253873,0.014605,0.008763
-1643.573,-0.004,17.339,5.0,1.903,0.0,1,0.14986,0.100076,0.005461,0.004318
-2383.345,7022.191,-30776.581,4.0,2.475,0.0121,1,0.413004,0.179578,0.016002,0.009652
-1743.872,11567.454,-35137.927,4.0,1.78,0.0119,1,0.469138,0.193929,0.020574,0.012573
-1638.246,-0.005,20.897,5.0,1.896,0.0,1,0.14986,0.100076,0.005461,0.004318
-37760.906,0.694,-1416.849,8.0,1.441,0.0,1,0.306324,0.253873,0.014605,0.008763
7918.52,1818.035,-35525.635,4.0,2.371,0.0124,1,0.2032,0.203073,0.011049,0.007239
-26684.014,0.073,-393.192,5.0,2.007,0.0,1,0.355092,0.171323,0.011557,0.007239
3993.785,38636.521,-45989.552,4.0,2.298,0.0105,1,0.359664,0.369951,0.019812,0.012319
-5412.579,0.007,23.341,5.0,2.921,0.0,1,0.253746,0.1016,0.006858,0.005842
-41038.78,0.746,-1618.273,8.0,1.376,0.0,1,0.309626,0.254254,0.016256,0.009144
15445.032,3625.439,-42415.806,4.0,2.308,0.0131,1,0.306324,0.204343,0.014605,0.008509
-28138.361,0.078,-405.014,5.0,1.89,0.0,1,0.402844,0.177419,0.010922,0.007493
-36741.211,0.104,-585.918,5.0,1.79,0.0,1,0.406654,0.177673,0.012827,0.007747
25252.458,7044.347,-55524.719,4.0,2.234,0.0141,1,0.352806,0.253873,0.016383,0.009525
63200.211,0.135,-1636.785,8.0,1.0,0.0,0,0.414782,0.259969,0.016891,0.010033
-26860.154,-110810.711,-71146.353,4.0,2.147,0.026,1,0.49784,0.432054,0.0889,0.055626
-22377.052,-0.023,91.562,5.0,2.27,0.0,1,0.403352,0.140335,0.011176,0.006985
-60155.656,-0.239,-1365.438,8.0,1.212,0.0,1,0.462534,0.280289,0.017272,0.010795
-28012.348,-0.119,-197.257,8.0,2.205,0.0,1,0.303276,0.203327,0.013081,0.007493
-52109.077,0.007,-602.303,5.0,1.91,0.0,1,0.456946,0.190373,0.014478,0.009017
-20615.636,-109546.443,-70124.843,4.0,2.167,0.026,1,0.49784,0.432054,0.0889,0.055626
394019.26,-54206.766,-116459.356,4.0,1.529,0.0253,1,0.549656,0.44831,0.114808,0.071882
-71736.979,-0.251,-1060.104,5.0,2.323,0.0,1,0.602996,0.178816,0.014986,0.010922
-84548.644,0.425,-2129.008,8.0,1.367,0.0,1,0.467106,0.281686,0.019558,0.012192
-51706.619,-3.925,613.812,8.0,2.155,0.0,1,0.352806,0.253873,0.016383,0.009525
-92515.877,-0.059,-1788.133,5.0,2.228,0.0,1,0.607568,0.228346,0.017272,0.011176
-365316.709,61900.796,-135097.089,4.0,1.8,0.0253,1,0.549656,0.44831,0.114808,0.071882
-137979.351,0.152,-3159.545,5.0,2.497,0.0,1,0.750062,0.26416,0.015494,0.011938
-87297.258,-3.697,1465.018,8.0,2.116,0.0,1,0.544322,0.212217,0.021209,0.013081
-109806.577,0.695,-2261.776,8.0,1.508,0.0,1,0.542544,0.312166,0.02032,0.0127
-50694.738,0.143,-1636.581,8.0,1.235,0.0,1,0.414782,0.259969,0.016891,0.010033
-5935.864,-0.015,42.687,5.0,2.558,0.0,1,0.159512,0.102362,0.010287,0.006604
-8674.201,-0.034,47.87,5.0,2.44,0.0,1,0.206756,0.13335,0.008382,0.005842
69811.765,-0.41,-1365.438,8.0,1.0,0.0,0,0.462534,0.280289,0.017272,0.010795
-19732.305,-0.107,-198.094,8.0,2.301,0.0,1,0.247142,0.202184,0.011049,0.007366
-45374.782,0.01,-602.303,5.0,1.75,0.0,1,0.456946,0.190373,0.014478,0.009017
-52109.077,0.007,-602.303,5.0,1.91,0.0,1,0.456946,0.190373,0.014478,0.009017
-28012.348,-0.119,-197.257,8.0,2.205,0.0,1,0.303276,0.203327,0.013081,0.007493
-60155.656,-0.239,-1365.438,8.0,1.212,0.0,1,0.462534,0.280289,0.017272,0.010795
-15693.066,-0.059,70.383,5.0,2.335,0.0,1,0.262382,0.146558,0.011176,0.006604
123494.517,-1.114,3526.653,5.0,1.0,0.0,0,0.678434,0.252984,0.016256,0.011684
176696.94,-1.994,6018.561,5.0,1.0,0.0,0,0.757682,0.266065,0.019304,0.013843
-138228.844,1.439,-2536.994,8.0,1.672,0.0,1,0.611124,0.32385,0.01905,0.0127
-121133.435,-6.369,2208.064,8.0,2.123,0.0,1,0.750062,0.26416,0.015494,0.011938
-185938.354,0.531,-5442.047,5.0,2.703,0.0,1,0.762254,0.266573,0.02159,0.014351
-376325.243,57973.123,-251844.504,4.0,1.74,0.0266,1,1.011936,0.44196,0.082042,0.045466
-83975.903,-0.068,-1478.242,5.0,2.17,0.0,1,0.602742,0.227711,0.014859,0.010541
-44183.305,-3.765,477.782,8.0,2.177,0.0,1,0.309626,0.254254,0.016256,0.009144
-78790.734,0.313,-2019.066,8.0,1.298,0.0,1,0.467106,0.281686,0.019558,0.012192
-62233.196,-0.226,-797.435,5.0,2.348,0.0,1,0.598678,0.177927,0.012827,0.010033
422108.47,-49873.896,-239297.688,4.0,1.486,0.0266,1,1.011936,0.44196,0.082042,0.045466
69845.545,-21976.859,-129763.152,4.0,1.511,0.026,1,0.621792,0.326517,0.024384,0.015367
-18525.986,-0.211,-119.188,5.0,2.429,0.0,1,0.310388,0.164846,0.009652,0.005842
-56401.878,0.097,-1599.3,8.0,1.212,0.0,1,0.462534,0.280289,0.017272,0.010795
-21582.608,-0.93,39.966,8.0,2.264,0.0,1,0.251968,0.202819,0.013462,0.008001
-51244.697,-0.031,-714.943,5.0,1.692,0.0,1,0.598678,0.177927,0.012827,0.010033
-252829.142,37009.684,-187345.642,4.0,1.788,0.0263,1,0.999998,0.45085,0.035941,0.01905
-41326.421,-0.284,741.462,5.0,1.197,0.0,1,0.602996,0.178816,0.014986,0.010922
-32537.402,-1.421,222.945,8.0,2.196,0.0,1,0.306324,0.204343,0.014605,0.008509
-59529.398,-0.401,-909.338,8.0,1.175,0.0,1,0.678434,0.252984,0.016256,0.011684
-38720.597,-0.196,-340.78,5.0,2.471,0.0,1,0.45466,0.152781,0.013335,0.008001
292253.592,-22622.602,-177104.178,4.0,1.433,0.0266,1,0.999998,0.45085,0.035941,0.01905
357938.961,-35549.669,-238265.151,4.0,1.465,0.0265,1,0.934974,0.417957,0.069088,0.038608
-51086.647,-0.131,-1118.492,5.0,2.393,0.0,1,0.529082,0.165862,0.013589,0.009652
-72540.269,-1.886,-677.092,8.0,1.22,0.0,1,0.467106,0.281686,0.019558,0.012192
36431.291,107687.65,-323603.395,4.0,1.296,0.0275,1,1.011936,0.44196,0.082042,0.045466
70680.864,-11392.532,-126519.592,4.0,1.398,0.0218,1,0.762254,0.266573,0.02159,0.014351
7517.139,-36357.856,-121300.331,4.0,1.414,0.0207,1,0.363728,0.370967,0.021844,0.013335
7274.279,-44003.999,-183755.407,4.0,1.186,0.0241,1,0.372364,0.374015,0.026162,0.016383
59371.558,-25615.945,-187880.832,4.0,1.752,0.0232,1,0.375412,0.3937,0.027686,0.017272
74806.54,-29169.972,-252216.066,4.0,1.275,0.0261,1,0.773176,0.380619,0.027051,0.016637
